salario;sexo;estadocivil;edad;tiempoempleo;vivienda;tiemporesidencia;telefono;trabajo;historialcredito;diasatraso;proposito;montodecredito;plazo;cuentaahorro;otraspropiedades;fiador;creditosexistentes;personastrabajan;resultado
0;Masculino;Casado;48;1<=X<4;Propio;4;Si;Empleado;creditos existentes;0;Aumento capital;2134;18;<1;Automovil;ninguno;3;1;Bueno
1;Masculino;Casado;44;1<=X<4;Alquilada;3;No;Empleado;creditos pagados;0;Electrodomestico;2647;12;5<=X<10;Maquinaria;ninguno;1;2;Bueno
1;Masculino;Casado;48;<1;Alquilada;3;No;Obrero/Agricultor;creditos existentes;0;Educacion;2241;18;<1;Maquinaria;ninguno;2;2;Bueno
2;Masculino;Soltero;44;<1;Propio;4;No;Empleado;creditos existentes;0;Educacion;1804;12;1<=X<5;Terreno-Construccion;ninguno;1;1;Bueno
0;Masculino;Soltero;26;1<=X<4;Propio;1;No;Empleado;creditos existentes;0;Aumento capital;2069;18;No;Automovil;ninguno;2;1;Bueno
1;Masculino;Soltero;36;1<=X<4;Propio;2;Si;Obrero/Agricultor;creditos pagados;0;Aumento capital;1374;12;<1;Casa;ninguno;1;1;Bueno
0;Masculino;Casado;39;>=7;Propio;3;No;Obrero/Agricultor;sin creditos;0;Electrodomestico;800;10;<1;Automovil;ninguno;1;1;Bueno
3;Femenino;divorciada/separada;46;1<=X<4;Alquilada;3;No;Empleado;creditos pagados;0;Electrodomestico;900;12;>=10;Maquinaria;ninguno;2;1;Bueno
2;Masculino;Soltero;34;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;2415;12;<1;Casa;garante;1;1;Bueno
1;Masculino;Casado;63;>=7;Propio;4;Si;Empleado;creditos pagados con retraso;2;Aumento capital;6836;24;<1;Ninguno;ninguno;2;1;Malo
2;Masculino;Casado;46;<1;Propio;3;Si;Empleado;creditos pagados;0;Aumento capital;1913;16;>=10;Casa;ninguno;1;1;Bueno
1;Masculino;Soltero;27;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;4020;24;<1;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;30;1<=X<4;Propio;2;Si;Empleado;creditos pagados;0;Automovil;5866;30;1<=X<5;Automovil;ninguno;2;1;Bueno
0;Masculino;Casado;57;>=7;Alquilada;4;No;Obrero/Agricultor;creditos existentes;0;Aumento capital;1264;12;No;Ninguno;ninguno;1;1;Bueno
3;Femenino;divorciada/separada;35;<1;Propio;1;Si;Profesional/calificado;creditos pagados;0;Aumento capital;1474;12;<1;Terreno-Construccion;ninguno;1;1;Bueno
2;Masculino;Soltero;25;<1;Propio;2;No;Obrero/Agricultor;creditos existentes;0;Electrodomestico;4746;18;<1;Terreno-Construccion;ninguno;2;1;Malo
0;Masculino;Soltero;31;1<=X<4;Alquilada;3;Si;Empleado;creditos existentes;0;Educacion;6110;18;<1;Ninguno;ninguno;1;1;Bueno
3;Masculino;Soltero;37;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;2100;18;<1;Casa;co-solicitante;1;1;Malo
3;Masculino;Soltero;37;1<=X<4;Propio;2;Si;Empleado;creditos pagados;0;Electrodomestico;1225;12;<1;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;24;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;600;9;<1;Casa;ninguno;1;1;Bueno
0;Masculino;Soltero;37;>=7;Propio;2;No;Profesional/calificado;creditos pagados;0;Electrodomestico;2333;18;5<=X<10;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;34;1<=X<4;Propio;1;Si;Empleado;creditos pagados;0;Electrodomestico;1158;12;5<=X<10;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;44;1<=X<4;Propio;4;Si;Obrero/Agricultor;creditos pagados con retraso;1;Reparaciones;6204;18;<1;Casa;ninguno;1;2;Bueno
1;Masculino;Casado;29;4<=X<7;Alquilada;2;No;Empleado;creditos existentes;0;Automovil;6187;30;1<=X<5;Automovil;ninguno;2;1;Bueno
1;Femenino;divorciada/separada;58;>=7;Alquilada;4;No;Empleado;creditos existentes;0;Automovil;6143;36;<1;Ninguno;ninguno;2;1;Malo
0;Femenino;divorciada/separada;35;<1;Propio;3;No;Profesional/calificado;creditos existentes;0;Reparaciones;1393;12;<1;Automovil;ninguno;2;1;Bueno
0;Masculino;Soltero;39;>=7;Propio;3;No;Empleado;creditos pagados;0;Electrodomestico;2299;18;5<=X<10;Automovil;ninguno;1;1;Bueno
1;Femenino;Soltera;31;Desempleado;Alquilada;2;Si;Empleado;creditos pagados;0;Electrodomestico;1352;12;5<=X<10;Terreno-Construccion;ninguno;1;1;Bueno
0;Masculino;Soltero;39;1<=X<4;Propio;3;No;Obrero/Agricultor;creditos existentes;0;Automovil;7228;30;<1;Terreno-Construccion;ninguno;2;1;Bueno
0;Femenino;divorciada/separada;30;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;2073;16;1<=X<5;Casa;co-solicitante;1;1;Bueno
2;Masculino;Soltero;29;<1;Propio;2;No;Obrero/Agricultor;creditos pagados con retraso;2;Aumento capital;2333;24;No;Terreno-Construccion;ninguno;1;1;Bueno
2;Masculino;Soltero;30;>=7;Propio;2;Si;Profesional/calificado;creditos pagados con retraso;1;Automovil;5965;27;<1;Automovil;ninguno;2;1;Bueno
0;Masculino;Soltero;25;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;1262;12;<1;Automovil;ninguno;1;1;Bueno
0;Masculino;Soltero;31;1<=X<4;Propio;1;Si;Empleado;creditos pagados;0;Aumento capital;3378;18;No;Terreno-Construccion;ninguno;1;1;Bueno
2;Masculino;Casado;57;>=7;Alquilada;4;Si;Empleado;creditos pagados con retraso;1;Aumento capital;2225;18;<1;Ninguno;ninguno;2;1;Malo
0;Masculino;Soltero;26;1<=X<4;Propio;2;No;Obrero/Agricultor;creditos pagados;0;Electrodomestico;783;6;No;Casa;garante;1;2;Bueno
2;Masculino;Casado;52;Desempleado;Propio;1;Si;Profesional/calificado;creditos pagados;0;Electrodomestico;6468;18;No;Ninguno;ninguno;1;1;Malo
0;Femenino;divorciada/separada;31;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Electrodomestico;9566;18;<1;Automovil;ninguno;2;1;Bueno
3;Femenino;Soltera;31;>=7;Propio;2;No;Profesional/calificado;creditos pagados;0;Educacion;1961;12;<1;Automovil;ninguno;1;1;Bueno
1;Femenino;Soltera;25;<1;Alquilada;1;Si;Empleado;creditos existentes;0;Aumento capital;6229;24;<1;Ninguno;co-solicitante;2;1;Malo
2;Masculino;Casado;27;1<=X<4;Propio;1;Si;Empleado;creditos pagados;0;Aumento capital;1391;9;<1;Casa;ninguno;1;1;Bueno
2;Masculino;Casado;50;>=7;Propio;4;Si;Empleado;creditos existentes;0;Electrodomestico;1537;12;No;Casa;garante;2;1;Bueno
2;Masculino;Casado;61;>=7;Alquilada;4;Si;Profesional/calificado;sin creditos;0;Aumento capital;1953;18;<1;Ninguno;ninguno;1;1;Malo
2;Masculino;Soltero;28;1<=X<4;Propio;2;Si;Empleado;sin creditos;0;Aumento capital;14421;18;<1;Automovil;ninguno;1;1;Malo
0;Femenino;Soltera;27;<1;Propio;1;Si;Empleado;creditos pagados;0;Electrodomestico;3181;18;<1;Terreno-Construccion;ninguno;1;1;Bueno
0;Masculino;Soltero;48;>=7;Propio;4;Si;Empleado;creditos pagados;0;Reparaciones;5190;24;No;Terreno-Construccion;ninguno;4;2;Bueno
0;Femenino;divorciada/separada;29;<1;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;2171;18;<1;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;38;1<=X<4;Propio;1;No;Empleado;creditos pagados;0;Electrodomestico;1007;12;>=10;Casa;ninguno;1;1;Bueno
0;Masculino;Soltero;37;1<=X<4;Alquilada;3;Si;Empleado;creditos pagados;0;Educacion;1819;18;<1;Ninguno;ninguno;1;1;Malo
0;Femenino;Soltera;29;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Electrodomestico;2394;18;No;Automovil;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;30;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Automovil;8133;36;<1;Terreno-Construccion;ninguno;1;1;Bueno
0;Masculino;Soltero;46;>=7;Alquilada;2;Si;Obrero/Agricultor;creditos existentes;0;Electrodomestico;730;7;No;Terreno-Construccion;ninguno;2;1;Bueno
1;Masculino;Casado;51;>=7;Alquilada;4;Si;Profesional/calificado;creditos existentes;0;Otros;1164;10;<1;Ninguno;ninguno;2;2;Bueno
2;Femenino;divorciada/separada;41;4<=X<7;Propio;1;No;Empleado;creditos existentes;0;Aumento capital;5954;24;<1;Casa;ninguno;2;1;Bueno
1;Masculino;Soltero;40;>=7;Propio;4;Si;Profesional/calificado;creditos pagados;0;Educacion;1977;12;No;Ninguno;ninguno;1;1;Malo
1;Masculino;Casado;66;>=7;Alquilada;4;No;Profesional/calificado;creditos existentes;0;Reparaciones;1526;12;<1;Ninguno;ninguno;2;1;Bueno
1;Masculino;Soltero;34;<1;Propio;3;No;Empleado;creditos pagados;0;Electrodomestico;3965;18;<1;Automovil;ninguno;1;1;Malo
2;Masculino;Casado;51;4<=X<7;Propio;4;No;Empleado;creditos pagados con retraso;1;Electrodomestico;4771;18;<1;Terreno-Construccion;ninguno;1;1;Bueno
0;Masculino;Casado;39;1<=X<4;Propio;2;No;Obrero/Agricultor;sin creditos;0;Automovil;9436;36;No;Terreno-Construccion;ninguno;1;2;Bueno
2;Masculino;Soltero;32;<1;Propio;1;No;Empleado;creditos pagados;0;Aumento capital;3832;24;<1;Terreno-Construccion;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;44;<1;Propio;1;Si;Empleado;creditos pagados;0;Electrodomestico;5943;18;No;Automovil;ninguno;2;1;Malo
0;Masculino;Soltero;47;>=7;Propio;3;Si;Empleado;creditos pagados;0;Electrodomestico;1213;18;5<=X<10;Terreno-Construccion;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;34;1<=X<4;Alquilada;2;No;Empleado;creditos pagados;0;Aumento capital;1568;18;1<=X<5;Terreno-Construccion;ninguno;1;1;Bueno
1;Femenino;divorciada/separada;58;>=7;Propio;4;Si;Empleado;creditos pagados;0;Otros;1755;12;<1;Casa;garante;1;1;Bueno
1;Masculino;Casado;52;>=7;Propio;4;No;Obrero/Agricultor;creditos pagados;0;Electrodomestico;2315;18;<1;Casa;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;29;1<=X<4;Propio;2;Si;Profesional/calificado;creditos existentes;0;Aumento capital;1412;12;<1;Casa;garante;2;1;Bueno
2;Femenino;divorciada/separada;27;<1;Propio;1;No;Empleado;creditos existentes;0;Aumento capital;1295;18;<1;Terreno-Construccion;ninguno;2;1;Bueno
2;Masculino;Soltero;47;1<=X<4;Alquilada;4;Si;Empleado;creditos pagados;0;Automovil;12612;36;1<=X<5;Ninguno;ninguno;1;2;Malo
1;Masculino;Soltero;30;4<=X<7;Propio;3;Si;Profesional/calificado;creditos pagados;0;Reparaciones;2249;18;1<=X<5;Automovil;ninguno;1;2;Bueno
1;Masculino;Soltero;28;4<=X<7;Propio;2;No;Empleado;sin creditos;0;Reparaciones;1108;12;<1;Casa;ninguno;2;1;Malo
0;Masculino;Casado;56;>=7;Propio;4;No;Empleado;creditos existentes;0;Electrodomestico;800;10;<1;Casa;ninguno;1;1;Bueno
1;Masculino;Casado;54;>=7;Propio;3;No;Empleado;creditos existentes;0;Educacion;1409;12;<1;Casa;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;33;>=7;Propio;3;No;Empleado;creditos existentes;0;Electrodomestico;797;12;No;Terreno-Construccion;ninguno;1;2;Malo
3;Masculino;Soltero;36;>=7;Alquilada;2;No;Empleado;creditos existentes;0;Aumento capital;3617;24;No;Ninguno;co-solicitante;2;1;Bueno
2;Masculino;Casado;54;>=7;Propio;4;Si;Empleado;creditos pagados;0;Electrodomestico;1318;12;>=10;Casa;ninguno;1;1;Bueno
2;Masculino;Casado;58;<1;Alquilada;4;Si;Empleado;sin creditos;0;Aumento capital;15945;24;<1;Ninguno;ninguno;1;1;Malo
0;Femenino;divorciada/separada;61;4<=X<7;Propio;2;No;Empleado;creditos existentes;0;Educacion;2012;12;No;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;34;1<=X<4;Propio;3;No;Empleado;creditos pagados;0;Aumento capital;2622;18;1<=X<5;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;36;>=7;Propio;3;No;Empleado;creditos existentes;0;Electrodomestico;2337;12;<1;Casa;ninguno;1;1;Bueno
2;Masculino;Soltero;36;4<=X<7;Alquilada;3;Si;Profesional/calificado;creditos pagados con retraso;1;Automovil;7057;30;No;Terreno-Construccion;ninguno;2;2;Bueno
0;Masculino;Casado;41;>=7;Alquilada;4;No;Obrero/Agricultor;creditos pagados;0;Reparaciones;1469;12;1<=X<5;Maquinaria;ninguno;1;1;Bueno
2;Masculino;Soltero;34;4<=X<7;Alquilada;3;No;Empleado;creditos pagados;0;Electrodomestico;2323;18;<1;Automovil;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;34;1<=X<4;Propio;2;No;Empleado;creditos pagados con retraso;1;Electrodomestico;932;12;<1;Casa;ninguno;1;1;Bueno
2;Masculino;Soltero;35;4<=X<7;Alquilada;3;Si;Empleado;creditos existentes;0;Aumento capital;1919;18;<1;Automovil;ninguno;1;1;Bueno
0;Masculino;Casado;26;<1;Alquilada;2;Si;Empleado;creditos pagados;0;Educacion;2445;18;No;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;39;1<=X<4;Propio;3;Si;Profesional/calificado;creditos existentes;0;Otros;11938;24;<1;Automovil;co-solicitante;2;2;Malo
0;Masculino;Soltero;39;>=7;Propio;3;Si;Profesional/calificado;creditos pagados;0;Automovil;6458;30;<1;Ninguno;ninguno;2;2;Malo
2;Masculino;Soltero;32;4<=X<7;Propio;2;No;Empleado;creditos pagados;0;Automovil;6078;30;<1;Automovil;ninguno;1;1;Bueno
1;Femenino;Soltera;30;<1;Propio;2;Si;Empleado;creditos pagados;0;Aumento capital;7721;24;No;Terreno-Construccion;ninguno;1;1;Bueno
2;Masculino;Casado;35;>=7;Propio;2;Si;Empleado;creditos pagados;0;Aumento capital;1410;14;5<=X<10;Casa;ninguno;1;1;Bueno
2;Masculino;Soltero;31;>=7;Propio;2;No;Empleado;creditos pagados con retraso;1;Aumento capital;1449;12;1<=X<5;Automovil;ninguno;2;2;Bueno
3;Femenino;Soltera;26;<1;Alquilada;2;Si;Empleado;creditos pagados;0;Educacion;1200;15;<1;Terreno-Construccion;ninguno;1;1;Bueno
2;Masculino;Soltero;28;4<=X<7;Alquilada;2;No;Obrero/Agricultor;creditos pagados;0;Automovil;6260;18;<1;Maquinaria;ninguno;1;1;Bueno
0;Femenino;Soltera;27;1<=X<4;Propio;2;Si;Empleado;creditos existentes;0;Automovil;7855;36;<1;Casa;ninguno;2;1;Malo
1;Masculino;Casado;35;>=7;Propio;1;No;Empleado;creditos pagados;0;Electrodomestico;1680;12;5<=X<10;Casa;ninguno;1;1;Bueno
0;Masculino;Soltero;47;>=7;Propio;1;Si;Empleado;creditos existentes;0;Electrodomestico;3578;18;No;Casa;ninguno;1;1;Bueno
1;Femenino;divorciada/separada;30;4<=X<7;Propio;3;Si;Profesional/calificado;creditos pagados;0;Electrodomestico;7174;18;No;Automovil;ninguno;1;1;Malo
1;Femenino;divorciada/separada;27;<1;Alquilada;2;No;Empleado;creditos existentes;0;Aumento capital;2132;18;No;Maquinaria;co-solicitante;2;1;Bueno
1;Femenino;Soltera;32;1<=X<4;Propio;3;No;Empleado;creditos existentes;0;Aumento capital;4281;18;5<=X<10;Automovil;ninguno;2;1;Malo
2;Masculino;Soltero;36;4<=X<7;Propio;3;Si;Profesional/calificado;creditos existentes;0;Educacion;2366;18;5<=X<10;Automovil;ninguno;1;1;Bueno
1;Femenino;Soltera;28;1<=X<4;Propio;2;Si;Empleado;creditos pagados;0;Electrodomestico;1835;18;<1;Casa;ninguno;2;1;Malo
0;Femenino;divorciada/separada;41;>=7;Alquilada;2;Si;Profesional/calificado;creditos existentes;0;Aumento capital;3868;24;<1;Automovil;ninguno;2;1;Bueno
0;Masculino;Soltero;29;1<=X<4;Alquilada;2;No;Obrero/Agricultor;creditos pagados;0;Aumento capital;1768;18;<1;Maquinaria;ninguno;1;1;Bueno
3;Masculino;Casado;63;>=7;Alquilada;4;Si;Empleado;creditos existentes;0;Electrodomestico;781;10;<1;Ninguno;ninguno;2;1;Bueno
2;Femenino;divorciada/separada;27;<1;Alquilada;2;No;Empleado;creditos pagados;0;Aumento capital;1924;18;No;Maquinaria;ninguno;1;1;Malo
1;Masculino;Soltero;30;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Educacion;2121;18;<1;Terreno-Construccion;ninguno;2;1;Bueno
1;Masculino;Casado;40;1<=X<4;Propio;2;No;Obrero/Agricultor;creditos pagados;0;Electrodomestico;701;12;<1;Casa;ninguno;1;1;Bueno
2;Masculino;Soltero;30;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Reparaciones;639;12;<1;Automovil;ninguno;1;1;Malo
2;Masculino;Soltero;34;Desempleado;Propio;2;Si;Profesional/calificado;creditos existentes;0;Electrodomestico;1860;12;<1;Automovil;ninguno;2;1;Bueno
1;Femenino;divorciada/separada;29;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Reparaciones;3499;18;<1;Casa;co-solicitante;2;1;Malo
2;Femenino;Soltera;34;4<=X<7;Propio;2;No;Empleado;creditos pagados;0;Automovil;8487;36;No;Automovil;ninguno;1;1;Bueno
1;Masculino;Soltero;29;1<=X<4;Propio;2;Si;Empleado;creditos pagados con retraso;2;Educacion;6887;18;<1;Terreno-Construccion;ninguno;1;1;Malo
0;Masculino;Soltero;27;<1;Propio;2;No;Obrero/Agricultor;creditos pagados;0;Aumento capital;2708;18;<1;Terreno-Construccion;ninguno;2;1;Bueno
0;Masculino;Soltero;47;1<=X<4;Alquilada;4;No;Empleado;creditos pagados;0;Aumento capital;1984;18;<1;Ninguno;ninguno;2;1;Bueno
0;Femenino;Soltera;29;4<=X<7;Propio;1;Si;Empleado;creditos pagados;0;Automovil;10144;36;1<=X<5;Casa;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;38;>=7;Propio;2;Si;Empleado;creditos existentes;0;Electrodomestico;1240;12;No;Casa;ninguno;2;1;Bueno
0;Masculino;Soltero;27;1<=X<4;Propio;2;No;Empleado;creditos pagados con retraso;1;Automovil;8613;36;>=10;Automovil;ninguno;2;1;Bueno
2;Masculino;Casado;66;1<=X<4;Propio;3;No;Obrero/Agricultor;creditos pagados;0;Electrodomestico;766;12;5<=X<10;Casa;ninguno;1;1;Malo
2;Masculino;Soltero;35;4<=X<7;Propio;2;Si;Empleado;creditos existentes;0;Electrodomestico;2728;18;No;Casa;garante;3;1;Bueno
3;Femenino;divorciada/separada;44;1<=X<4;Alquilada;2;Si;Obrero/Agricultor;creditos pagados;0;Electrodomestico;1881;12;<1;Automovil;ninguno;1;1;Bueno
3;Masculino;Casado;48;<1;Propio;2;No;Obrero/Agricultor;creditos pagados;0;Electrodomestico;709;8;>=10;Casa;ninguno;1;1;Bueno
2;Femenino;divorciada/separada;30;<1;Propio;1;Si;Profesional/calificado;creditos pagados;0;Electrodomestico;4795;18;<1;Ninguno;ninguno;1;1;Bueno
1;Masculino;Soltero;27;1<=X<4;Propio;2;No;Profesional/calificado;creditos pagados;0;Electrodomestico;3416;18;<1;Automovil;ninguno;1;1;Bueno
1;Masculino;Soltero;32;1<=X<4;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;2462;18;<1;Automovil;ninguno;1;1;Malo
0;Femenino;Soltera;33;<1;Propio;3;Si;Empleado;creditos existentes;0;Aumento capital;2288;18;<1;Terreno-Construccion;ninguno;1;1;Bueno
2;Masculino;Soltero;34;4<=X<7;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;3566;24;1<=X<5;Automovil;ninguno;1;1;Bueno
1;Femenino;divorciada/separada;39;>=7;Propio;3;Si;Empleado;creditos existentes;0;Electrodomestico;860;6;<1;Ninguno;ninguno;2;1;Bueno
0;Femenino;divorciada/separada;51;4<=X<7;Propio;3;Si;Empleado;creditos existentes;0;Electrodomestico;682;10;1<=X<5;Automovil;ninguno;2;1;Bueno
1;Masculino;Soltero;28;1<=X<4;Propio;2;No;Empleado;creditos existentes;0;Aumento capital;5371;24;<1;Terreno-Construccion;garante;2;1;Bueno
0;Masculino;Soltero;46;>=7;Propio;4;No;Empleado;creditos existentes;0;Electrodomestico;1582;12;>=10;Automovil;ninguno;2;1;Bueno
0;Masculino;Soltero;42;>=7;Alquilada;4;Si;Empleado;creditos pagados;0;Electrodomestico;1346;12;1<=X<5;Ninguno;ninguno;1;2;Bueno
0;Masculino;Soltero;38;1<=X<4;Propio;3;Si;Empleado;creditos pagados;0;Electrodomestico;1924;12;<1;Terreno-Construccion;ninguno;1;1;Bueno
3;Masculino;Soltero;34;1<=X<4;Propio;1;No;Empleado;creditos pagados;0;Electrodomestico;5848;18;<1;Automovil;ninguno;1;1;Bueno
2;Femenino;divorciada/separada;45;>=7;Alquilada;4;No;Empleado;creditos existentes;0;Automovil;7758;30;>=10;Ninguno;ninguno;1;1;Bueno
2;Masculino;Soltero;36;4<=X<7;Alquilada;3;Si;Profesional/calificado;creditos pagados con retraso;1;Aumento capital;6967;24;1<=X<5;Automovil;ninguno;1;1;Bueno
1;Femenino;divorciada/separada;42;1<=X<4;Alquilada;4;No;Empleado;creditos pagados;0;Aumento capital;1282;12;<1;Terreno-Construccion;ninguno;1;1;Malo
1;Masculino;Soltero;48;>=7;Propio;4;No;Empleado;creditos existentes;0;Reparaciones;1288;9;1<=X<5;Casa;garante;2;2;Bueno
1;Masculino;Casado;45;>=7;Propio;1;No;Obrero/Agricultor;creditos pagados;0;Educacion;1100;12;<1;Automovil;ninguno;1;1;Bueno
2;Masculino;Soltero;38;4<=X<7;Propio;3;Si;Empleado;creditos pagados;0;Reparaciones;3512;18;1<=X<5;Automovil;ninguno;2;1;Bueno
0;Masculino;Soltero;34;1<=X<4;Propio;2;No;Obrero/Agricultor;creditos existentes;0;Electrodomestico;1898;12;No;Casa;ninguno;2;2;Bueno
0;Masculino;Soltero;36;>=7;Propio;3;Si;Empleado;creditos existentes;0;Electrodomestico;2872;18;1<=X<5;Casa;ninguno;1;2;Bueno
0;Femenino;divorciada/separada;37;<1;Propio;1;No;Empleado;creditos existentes;0;Educacion;1055;12;<1;Terreno-Construccion;ninguno;2;1;Bueno
0;Masculino;Soltero;36;4<=X<7;Propio;3;Si;Empleado;creditos pagados;0;Electrodomestico;1262;18;5<=X<10;Terreno-Construccion;ninguno;2;1;Bueno
2;Masculino;Casado;62;Desempleado;Alquilada;4;Si;Profesional/calificado;creditos pagados;0;Automovil;7308;30;<1;Ninguno;ninguno;1;1;Bueno
0;Masculino;Soltero;36;>=7;Propio;3;No;Empleado;creditos pagados;0;Educacion;909;12;5<=X<10;Terreno-Construccion;ninguno;1;1;Bueno
0;Masculino;Soltero;37;1<=X<4;Propio;2;Si;Empleado;creditos pagados;0;Aumento capital;2978;18;5<=X<10;Automovil;ninguno;1;1;Bueno
1;Femenino;divorciada/separada;33;Desempleado;Propio;2;No;Empleado;creditos pagados;0;Aumento capital;1131;12;<1;Automovil;ninguno;1;1;Malo
2;Femenino;divorciada/separada;48;<1;Propio;1;No;Empleado;creditos pagados;0;Aumento capital;1577;18;>=10;Casa;ninguno;1;1;Bueno
0;Femenino;divorciada/separada;35;4<=X<7;Alquilada;3;Si;Empleado;creditos pagados;0;Aumento capital;3972;24;<1;Terreno-Construccion;ninguno;1;1;Bueno
2;Masculino;divorciado/separado;31;>=7;Propio;3;Si;Empleado;creditos existentes;0;Aumento capital;1935;18;<1;Casa;ninguno;2;1;Malo
1;Masculino;Soltero;33;>=7;Alquilada;3;No;Empleado;sin creditos;0;Educacion;950;12;<1;Automovil;ninguno;2;2;Malo
0;Femenino;divorciada/separada;36;1<=X<4;Propio;1;Si;Empleado;creditos pagados;0;Educacion;763;10;<1;Casa;ninguno;1;1;Bueno
